id_user,0,1,2,3,4,5,6,7,8,9,10,11,12
12347,7631b8a047501334b0d71e852dc3e5c157826394,3120b133125a73426efdaa93d7e9685595a7295a,DEL,DEL,82945b35287f781daae1caaf77e44a96c5f7108c,DEL,de6383e0ae58bd80f0d31af1d2bffcc48479433a,DEL,b987cecfd4d4dcbdd8144318949adc7a79c089f0,DEL,565aea1ac8e90de4acc022b07481ea22aea77a69,DEL,92c734b2c35125cdffd70f60e6178358ae566c63
12348,d7db8baaa00f2ec98f521f78b61b1615bc6318b8,cd6d4370ad4b458a861451df134a531185f26cd3,DEL,DEL,4d13882cd2a81c828fee508f83996f1296f5c1b7,DEL,DEL,DEL,DEL,dcf977f65ee3c8fdb0810c44141c1e76bc2c671b,DEL,DEL,DEL
12349,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,9784850af0f0d1e7d48b6dbf822a7e140ad8b0d5,DEL
12350,DEL,DEL,0ddfafc13a65ba13bd3efb69ef277faae7649a09,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12352,DEL,DEL,26736c51c89e1b7b77c8eb4affc24252a9947e37,ec62ae4900ba14faf7c895513de5e797d0d0ba9b,DEL,DEL,DEL,DEL,DEL,773dc6bfbb766c1d0632e6b61effc2269df53b15,DEL,6f247b0186b5f059f15909acb58d2275b79eca9c,DEL
12354,DEL,DEL,DEL,DEL,4db010bc7cba04b55ceecf21d9699baa04bc458f,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12355,DEL,DEL,DEL,DEL,DEL,6a1b17900772bc6cf56fd2409d2098406b7a91f7,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12356,DEL,edd590d156afbfcc60f88aa97b85661f57fc2193,DEL,DEL,e1613630695cfd35347012befff2c05d51435b2c,DEL,DEL,DEL,DEL,DEL,DEL,b0aa927f732c80ec20dbea3bc36aa2fe4ff3a0c7,DEL
12357,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,c5ca6bd91b87f7f69b529dc663f6901087de1f25,DEL
12358,DEL,DEL,DEL,DEL,DEL,DEL,DEL,4be1bc3019733ffc1ad31512b79366703b662cfc,DEL,DEL,DEL,DEL,3963d75af07c622acef664a1170c4b416ac341fc
12359,DEL,cfc53bfffeb2564a1ad3e051f99274c0447bc438,948fabb8651ef62599d34752ebe7c6df41a158b7,DEL,DEL,DEL,12dc1919f9ae4dd4d562cb28c0b5941fecada653,DEL,DEL,DEL,76560edd2de3662ace4cf4075a78345932c8b1f0,DEL,DEL
12360,DEL,DEL,DEL,DEL,DEL,be179099041dbcc2fbd4542cd5e235ddabe24b70,DEL,DEL,a72cafe8848188c385a62968ef6f52525c76a637,DEL,dd3dd2a7172eb71ba88005aae74ce48c84d39dfb,DEL,DEL
12361,DEL,DEL,86e760678b18af822195b18a367ccb59495b2d71,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL,DEL
12362,DEL,DEL,ca2e48ab64dc629104e7f01c00f4c84615a50c6e,DEL,a73dbbfea10db0f6b9f4cc631e43f70b49583790,DEL,DEL,99e2918105bb8ed74e29639127b7ef2ee62753a3,1db22e5140d782b58e3018c0b91dce92d779bd1a,83826f1c6fcacb74f3096d0350518233a7c7223b,752dc30fcf62b2ea6bbc241d0000e8370ee17729,a011d194151b5c909ddcb0d076ddb5943411bd97,8ba97ce214b4e9452d4da8d0364fec87ffa68ec0
12363,DEL,DEL,DEL,DEL,a894183c98af04aee38121fa5d0a935ac2883ce1,DEL,DEL,DEL,c188444076caf17e7bc0f9f641aab346c95e71f1,DEL,DEL,DEL,DEL
